,img_url,movie_id,movie_title,movie_url
0,https://image.tmdb.org/t/p/w500/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1.0,Toy Story (1995),http://www.imdb.com/title/tt0178952/
1,https://image.tmdb.org/t/p/w500/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,2.0,GoldenEye (1995),http://www.imdb.com/title/tt0205973/
2,https://image.tmdb.org/t/p/w500/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,3.0,Four Rooms (1995),http://www.imdb.com/title/tt2113937/
3,https://image.tmdb.org/t/p/w500/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,4.0,Get Shorty (1995),http://www.imdb.com/title/tt5761496/
4,https://image.tmdb.org/t/p/w500/80czeJGSoik22fhtUM9WzyjUU4r.jpg,5.0,Copycat (1995),http://www.imdb.com/title/tt2236686/
5,https://image.tmdb.org/t/p/w500/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,6.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://www.imdb.com/title/tt0115012/
6,https://image.tmdb.org/t/p/w500/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,7.0,Twelve Monkeys (1995),http://www.imdb.com/title/tt0114746/
7,https://image.tmdb.org/t/p/w500/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,8.0,Babe (1995),http://www.imdb.com/title/tt0072677/
8,https://image.tmdb.org/t/p/w500/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,9.0,Dead Man Walking (1995),http://www.imdb.com/title/tt0097164/
9,https://image.tmdb.org/t/p/w500/3zp2Kg5bvlFkKmWiQLmuWQAIEgG.jpg,10.0,Richard III (1995),http://www.imdb.com/title/tt0049674/
10,https://image.tmdb.org/t/p/w500/mX8SsTw2uApc02W8SBIKeprcWr1.jpg,11.0,Seven (Se7en) (1995),http://www.imdb.com/title/tt1629376/
11,https://image.tmdb.org/t/p/w500/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,12.0,"Usual Suspects, The (1995)",http://www.imdb.com/title/tt0114814/
12,https://image.tmdb.org/t/p/w500/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,13.0,Mighty Aphrodite (1995),http://www.imdb.com/title/tt0113819/
13,https://image.tmdb.org/t/p/w500/jRoAYhHrj7nrd9BuXNUCRCXWdql.jpg,14.0,"Postino, Il (1994)",http://www.imdb.com/title/tt0345806/
14,https://image.tmdb.org/t/p/w500/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,15.0,Mr. Holland's Opus (1995),http://www.imdb.com/title/tt0113862/
15,https://image.tmdb.org/t/p/w500/pX0NVXSHI9y6LKaVpgGA5ojiUqD.jpg,16.0,French Twist (Gazon maudit) (1995),http://www.imdb.com/title/tt0113149/
16,https://image.tmdb.org/t/p/w500/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,17.0,From Dusk Till Dawn (1996),http://www.imdb.com/title/tt3337194/
17,https://image.tmdb.org/t/p/w500/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,18.0,"White Balloon, The (1995)",http://www.imdb.com/title/tt0112445/
18,https://image.tmdb.org/t/p/w500/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,19.0,Antonia's Line (1995),http://www.imdb.com/title/tt0112379/
19,https://image.tmdb.org/t/p/w500/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,20.0,Angels and Insects (1995),http://www.imdb.com/title/tt0112365/
20,https://image.tmdb.org/t/p/w500/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,21.0,Muppet Treasure Island (1996),http://www.imdb.com/title/tt0117110/
21,https://image.tmdb.org/t/p/w500/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,22.0,Braveheart (1995),http://www.imdb.com/title/tt0015643/
22,https://image.tmdb.org/t/p/w500/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,23.0,Taxi Driver (1976),http://www.imdb.com/title/tt0047561/
23,https://image.tmdb.org/t/p/w500/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,24.0,Rumble in the Bronx (1995),http://www.imdb.com/title/tt0113326/
